iter	Passed	Remaining
0	7	1498
1	15	1525
2	23	1526
3	31	1546
4	39	1544
5	47	1549
6	56	1555
7	64	1552
8	72	1545
9	81	1541
10	89	1535
11	97	1526
12	105	1518
13	114	1519
14	122	1510
15	130	1501
16	138	1493
17	146	1483
18	154	1475
19	163	1469
20	171	1459
21	179	1455
22	187	1446
23	196	1440
24	204	1432
25	212	1425
26	221	1416
27	229	1410
28	237	1400
29	246	1394
30	254	1385
31	262	1376
32	270	1368
33	278	1360
34	286	1351
35	296	1349
36	305	1345
37	314	1342
38	323	1336
39	331	1326
40	339	1318
41	347	1308
42	355	1299
43	364	1290
44	372	1282
45	380	1273
46	388	1265
47	396	1256
48	404	1247
49	412	1238
50	421	1230
51	429	1222
52	437	1213
53	445	1205
54	454	1197
55	462	1188
56	470	1180
57	478	1171
58	486	1162
59	494	1154
60	503	1146
61	511	1137
62	519	1130
63	528	1122
64	536	1113
65	544	1105
66	552	1097
67	560	1088
68	569	1080
69	577	1071
70	585	1063
71	593	1055
72	602	1047
73	610	1039
74	618	1030
75	626	1021
76	634	1013
77	642	1004
78	650	995
79	658	987
80	666	979
81	674	970
82	683	962
83	691	954
84	699	946
85	707	938
86	716	930
87	724	921
88	732	913
89	740	905
90	749	897
91	757	888
92	765	880
93	773	872
94	781	863
95	789	855
96	798	847
97	806	839
98	814	831
99	822	822
100	830	814
101	839	806
102	848	798
103	856	790
104	864	782
105	872	773
106	881	765
107	889	757
108	898	749
109	906	741
110	914	733
111	923	725
112	931	717
113	939	708
114	947	700
115	955	692
116	964	684
117	972	675
118	980	667
119	988	659
120	997	651
121	1005	642
122	1013	634
123	1021	626
124	1029	617
125	1038	609
126	1046	601
127	1055	593
128	1063	585
129	1071	576
130	1079	568
131	1088	560
132	1096	552
133	1104	544
134	1112	535
135	1121	527
136	1129	519
137	1138	511
138	1146	503
139	1154	494
140	1162	486
141	1170	478
142	1178	469
143	1186	461
144	1195	453
145	1203	445
146	1211	436
147	1220	428
148	1228	420
149	1236	412
150	1244	403
151	1252	395
152	1260	387
153	1269	379
154	1277	370
155	1285	362
156	1294	354
157	1302	346
158	1310	337
159	1318	329
160	1326	321
161	1334	313
162	1343	304
163	1351	296
164	1359	288
165	1367	280
166	1376	271
167	1384	263
168	1392	255
169	1401	247
170	1409	238
171	1417	230
172	1425	222
173	1433	214
174	1441	205
175	1449	197
176	1457	189
177	1465	181
178	1474	172
179	1482	164
180	1490	156
181	1498	148
182	1506	139
183	1515	131
184	1523	123
185	1531	115
186	1539	107
187	1547	98
188	1555	90
189	1563	82
190	1571	74
191	1580	65
192	1588	57
193	1596	49
194	1604	41
195	1612	32
196	1620	24
197	1628	16
198	1637	8
199	1645	0
