iter	Passed	Remaining
0	8	1628
1	16	1598
2	24	1621
3	32	1604
4	40	1596
5	49	1594
6	57	1591
7	65	1581
8	74	1578
9	82	1570
10	91	1564
11	99	1556
12	107	1551
13	116	1546
14	124	1539
15	132	1528
16	142	1528
17	150	1520
18	158	1510
19	167	1503
20	175	1495
21	184	1488
22	192	1478
23	200	1467
24	208	1461
25	217	1455
26	225	1445
27	234	1437
28	242	1430
29	251	1422
30	259	1414
31	267	1406
32	276	1398
33	284	1388
34	292	1380
35	301	1373
36	309	1363
37	317	1353
38	326	1345
39	334	1336
40	342	1327
41	350	1318
42	358	1310
43	367	1302
44	375	1294
45	384	1285
46	392	1277
47	400	1268
48	408	1260
49	417	1252
50	425	1242
51	433	1234
52	442	1226
53	450	1217
54	458	1209
55	467	1200
56	475	1192
57	483	1183
58	491	1175
59	500	1167
60	508	1158
61	516	1149
62	524	1141
63	533	1133
64	542	1126
65	550	1118
66	559	1110
67	568	1102
68	577	1095
